0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,15,346,55,0,225,,

0,GasterBlaster,1,150,100,320,210,90,2.5,12

0.4,BoneVRepeat,133,356,356,0,240,165,20
0.4,Platform,-61,346,55,0,240,,
0.39,BoneV,503,286,220,2,300,1
0.8,Platform,-61,346,55,0,255,,
0.8,Platform,-61,346,55,0,270,,
0.9,Platform,-61,346,55,0,285,,
0.39,BoneV,503,286,220,2,300,1
1,Platform,-61,346,55,0,300,,
1,Platform,-61,346,55,0,315,,
0.39,BoneV,503,286,220,2,300,1
1,Platform,-61,346,55,0,330,,
1,Platform,-61,346,55,0,345,,
1,Platform,-61,346,55,0,360,,
0.39,BoneV,503,286,220,2,300,1
1,Platform,-61,346,55,0,375,,
0.39,BoneV,503,286,220,2,300,1
1,Platform,-61,346,55,0,390,,
1,Platform,-61,346,55,0,405,,
0.39,BoneV,503,286,220,2,300,1
1.3,BoneV,133,257,95,0,435,,
1.7,EndAttack,,,,,,,
